frame,timestamp,mission_phase,active_zones,overall_health,mean_scout_speed,max_scout_speed,mean_node_speed,manual_mode,bias_x,bias_y,altitude
70,23.648,EXPLORE,8,1.000,0.600,0.600,0.600,0,0.00,0.00,3.00
71,23.838,EXPLORE,8,1.000,0.600,0.600,0.600,0,0.00,0.00,3.00
72,24.030,EXPLORE,8,1.000,0.600,0.600,0.600,0,0.00,0.00,3.00
73,25.283,EXPLORE,8,1.000,0.600,0.600,0.600,0,0.00,0.00,3.00
74,26.316,EXPLORE,8,1.000,0.600,0.600,0.600,0,0.00,0.00,3.00
75,27.132,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
76,28.250,EXPLORE,8,1.000,0.600,0.601,0.601,0,0.00,0.00,3.00
77,28.816,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
78,29.019,EXPLORE,8,1.000,0.600,0.601,0.601,0,0.00,0.00,3.00
79,30.616,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
80,30.813,EXPLORE,8,1.000,0.600,0.601,0.601,0,0.00,0.00,3.00
81,31.022,EXPLORE,8,1.000,0.600,0.601,0.601,0,0.00,0.00,3.00
82,31.233,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
83,31.446,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
84,31.659,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
85,31.895,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
86,32.111,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
87,32.325,EXPLORE,8,1.000,0.600,0.601,0.601,0,0.00,0.00,3.00
88,32.538,EXPLORE,8,1.000,0.601,0.601,0.601,0,0.00,0.00,3.00
89,32.752,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
90,32.962,EXPLORE,8,1.000,0.601,0.601,0.601,0,0.00,0.00,3.00
91,33.177,EXPLORE,8,1.000,0.601,0.601,0.601,0,0.00,0.00,3.00
92,33.387,EXPLORE,8,1.000,0.601,0.601,0.600,0,0.00,0.00,3.00
93,33.599,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
94,33.813,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
