frame,tier,agent_idx,x,y,z
0,general,0,0.0000,0.0000,5.0000
0,nodes,0,-4.9958,-4.9958,3.0000
0,nodes,1,4.9959,-4.9959,3.0000
0,nodes,2,-5.0041,4.9958,3.0000
0,nodes,3,5.0042,4.9959,3.0000
0,scouts,0,-3.4974,-4.9987,3.0000
0,scouts,1,-4.9983,-3.4976,3.0000
0,scouts,2,-6.4996,-4.9974,3.0000
0,scouts,3,-4.9979,-6.4987,3.0000
0,scouts,4,6.4996,-4.9974,3.0000
0,scouts,5,4.9983,-3.4976,3.0000
0,scouts,6,3.4974,-4.9987,3.0000
0,scouts,7,4.9979,-6.4987,3.0000
0,scouts,8,-3.5004,4.9974,3.0000
0,scouts,9,-5.0021,6.4987,3.0000
0,scouts,10,-6.5026,4.9987,3.0000
0,scouts,11,-5.0017,3.4976,3.0000
0,scouts,12,6.5026,4.9987,3.0000
0,scouts,13,5.0021,6.4987,3.0000
0,scouts,14,3.5004,4.9974,3.0000
0,scouts,15,5.0017,3.4976,3.0000
0,workers,0,-3.0000,-5.0000,3.0000
0,workers,1,7.0000,-5.0000,3.0000
0,workers,2,-3.0000,5.0000,3.0000
0,workers,3,7.0000,5.0000,3.0000
1,general,0,0.0000,0.0000,5.0000
1,nodes,0,-4.9927,-4.9925,3.0000
1,nodes,1,4.9928,-4.9927,3.0000
1,nodes,2,-5.0072,4.9926,3.0000
1,nodes,3,5.0073,4.9927,3.0000
1,scouts,0,-3.4924,-4.9961,3.0000
1,scouts,1,-4.9951,-3.4931,3.0000
1,scouts,2,-6.4989,-4.9927,3.0000
1,scouts,3,-4.9940,-6.4963,3.0000
1,scouts,4,6.4989,-4.9927,3.0000
1,scouts,5,4.9951,-3.4931,3.0000
1,scouts,6,3.4924,-4.9961,3.0000
1,scouts,7,4.9940,-6.4963,3.0000
1,scouts,8,-3.5011,4.9927,3.0000
1,scouts,9,-5.0060,6.4963,3.0000
1,scouts,10,-6.5076,4.9961,3.0000
1,scouts,11,-5.0049,3.4931,3.0000
1,scouts,12,6.5076,4.9961,3.0000
1,scouts,13,5.0060,6.4963,3.0000
1,scouts,14,3.5011,4.9927,3.0000
1,scouts,15,5.0049,3.4931,3.0000
1,workers,0,-3.0000,-5.0000,3.0000
1,workers,1,7.0000,-5.0000,3.0000
1,workers,2,-3.0000,5.0000,3.0000
1,workers,3,7.0000,5.0000,3.0000
2,general,0,0.0000,0.0000,5.0000
2,nodes,0,-4.9885,-4.9883,3.0000
2,nodes,1,4.9887,-4.9884,3.0000
2,nodes,2,-5.0113,4.9884,3.0000
2,nodes,3,5.0115,4.9884,3.0000
2,scouts,0,-3.4855,-4.9926,3.0000
2,scouts,1,-4.9907,-3.4868,3.0000
2,scouts,2,-6.4978,-4.9860,3.0000
2,scouts,3,-4.9885,-6.4929,3.0000
2,scouts,4,6.4978,-4.9860,3.0000
2,scouts,5,4.9907,-3.4868,3.0000
2,scouts,6,3.4855,-4.9926,3.0000
2,scouts,7,4.9885,-6.4929,3.0000
2,scouts,8,-3.5022,4.9860,3.0000
2,scouts,9,-5.0115,6.4929,3.0000
2,scouts,10,-6.5145,4.9926,3.0000
2,scouts,11,-5.0093,3.4868,3.0000
2,scouts,12,6.5145,4.9926,3.0000
2,scouts,13,5.0115,6.4929,3.0000
2,scouts,14,3.5022,4.9860,3.0000
2,scouts,15,5.0093,3.4868,3.0000
2,workers,0,-3.0000,-5.0000,3.0000
2,workers,1,7.0000,-5.0000,3.0000
2,workers,2,-3.0000,5.0000,3.0000
2,workers,3,7.0000,5.0000,3.0000
3,general,0,0.0000,0.0000,5.0000
3,nodes,0,-4.9843,-4.9840,3.0000
3,nodes,1,4.9844,-4.9840,3.0000
3,nodes,2,-5.0155,4.9839,3.0000
3,nodes,3,5.0156,4.9841,3.0000
3,scouts,0,-3.4768,-4.9882,3.0000
3,scouts,1,-4.9852,-3.4790,3.0000
3,scouts,2,-6.4965,-4.9776,3.0000
3,scouts,3,-4.9817,-6.4886,3.0000
3,scouts,4,6.4965,-4.9776,3.0000
3,scouts,5,4.9852,-3.4790,3.0000
3,scouts,6,3.4768,-4.9882,3.0000
3,scouts,7,4.9817,-6.4886,3.0000
3,scouts,8,-3.5035,4.9776,3.0000
3,scouts,9,-5.0183,6.4886,3.0000
3,scouts,10,-6.5232,4.9882,3.0000
3,scouts,11,-5.0148,3.4790,3.0000
3,scouts,12,6.5232,4.9882,3.0000
3,scouts,13,5.0183,6.4886,3.0000
3,scouts,14,3.5035,4.9776,3.0000
3,scouts,15,5.0148,3.4790,3.0000
3,workers,0,-3.0000,-5.0000,3.0000
3,workers,1,7.0000,-5.0000,3.0000
3,workers,2,-3.0000,5.0000,3.0000
3,workers,3,7.0000,5.0000,3.0000
4,general,0,0.0000,0.0000,5.0000
4,nodes,0,-4.9797,-4.9791,3.0000
4,nodes,1,4.9797,-4.9792,3.0000
4,nodes,2,-5.0202,4.9790,3.0000
4,nodes,3,5.0203,4.9792,3.0000
4,scouts,0,-3.4667,-4.9831,3.0000
4,scouts,1,-4.9787,-3.4698,3.0000
4,scouts,2,-6.4950,-4.9678,3.0000
4,scouts,3,-4.9736,-6.4836,3.0000
4,scouts,4,6.4950,-4.9678,3.0000
4,scouts,5,4.9787,-3.4698,3.0000
4,scouts,6,3.4667,-4.9831,3.0000
4,scouts,7,4.9736,-6.4836,3.0000
4,scouts,8,-3.5050,4.9678,3.0000
4,scouts,9,-5.0264,6.4836,3.0000
4,scouts,10,-6.5333,4.9831,3.0000
4,scouts,11,-5.0213,3.4698,3.0000
4,scouts,12,6.5333,4.9831,3.0000
4,scouts,13,5.0264,6.4836,3.0000
4,scouts,14,3.5050,4.9678,3.0000
4,scouts,15,5.0213,3.4698,3.0000
4,workers,0,-3.0000,-5.0000,3.0000
4,workers,1,7.0000,-5.0000,3.0000
4,workers,2,-3.0000,5.0000,3.0000
4,workers,3,7.0000,5.0000,3.0000
5,general,0,0.0000,0.0000,5.0000
5,nodes,0,-4.9748,-4.9739,3.0000
5,nodes,1,4.9748,-4.9741,3.0000
5,nodes,2,-5.0251,4.9740,3.0000
5,nodes,3,5.0252,4.9741,3.0000
5,scouts,0,-3.4552,-4.9773,3.0000
5,scouts,1,-4.9713,-3.4594,3.0000
5,scouts,2,-6.4933,-4.9567,3.0000
5,scouts,3,-4.9646,-6.4780,3.0000
5,scouts,4,6.4933,-4.9567,3.0000
5,scouts,5,4.9713,-3.4594,3.0000
5,scouts,6,3.4552,-4.9773,3.0000
5,scouts,7,4.9646,-6.4780,3.0000
5,scouts,8,-3.5067,4.9567,3.0000
5,scouts,9,-5.0354,6.4780,3.0000
5,scouts,10,-6.5448,4.9773,3.0000
5,scouts,11,-5.0287,3.4594,3.0000
5,scouts,12,6.5448,4.9773,3.0000
5,scouts,13,5.0354,6.4780,3.0000
5,scouts,14,3.5067,4.9567,3.0000
5,scouts,15,5.0287,3.4594,3.0000
5,workers,0,-3.0000,-5.0000,3.0000
5,workers,1,7.0000,-5.0000,3.0000
5,workers,2,-3.0000,5.0000,3.0000
5,workers,3,7.0000,5.0000,3.0000
6,general,0,0.0000,0.0000,5.0000
6,nodes,0,-4.9697,-4.9686,3.0000
6,nodes,1,4.9698,-4.9686,3.0000
6,nodes,2,-5.0302,4.9686,3.0000
6,nodes,3,5.0303,4.9687,3.0000
6,scouts,0,-3.4427,-4.9709,3.0000
6,scouts,1,-4.9633,-3.4480,3.0000
6,scouts,2,-6.4914,-4.9445,3.0000
6,scouts,3,-4.9546,-6.4718,3.0000
6,scouts,4,6.4914,-4.9445,3.0000
6,scouts,5,4.9633,-3.4480,3.0000
6,scouts,6,3.4427,-4.9709,3.0000
6,scouts,7,4.9546,-6.4718,3.0000
6,scouts,8,-3.5086,4.9445,3.0000
6,scouts,9,-5.0454,6.4718,3.0000
6,scouts,10,-6.5573,4.9709,3.0000
6,scouts,11,-5.0367,3.4480,3.0000
6,scouts,12,6.5573,4.9709,3.0000
6,scouts,13,5.0454,6.4718,3.0000
6,scouts,14,3.5086,4.9445,3.0000
6,scouts,15,5.0367,3.4480,3.0000
6,workers,0,-3.0000,-5.0000,3.0000
6,workers,1,7.0000,-5.0000,3.0000
6,workers,2,-3.0000,5.0000,3.0000
6,workers,3,7.0000,5.0000,3.0000
7,general,0,0.0000,0.0000,5.0000
7,nodes,0,-4.9644,-4.9630,3.0000
7,nodes,1,4.9644,-4.9632,3.0000
7,nodes,2,-5.0355,4.9630,3.0000
7,nodes,3,5.0356,4.9631,3.0000
7,scouts,0,-3.4292,-4.9640,3.0000
7,scouts,1,-4.9546,-3.4357,3.0000
7,scouts,2,-6.4894,-4.9314,3.0000
7,scouts,3,-4.9439,-6.4651,3.0000
7,scouts,4,6.4894,-4.9314,3.0000
7,scouts,5,4.9546,-3.4357,3.0000
7,scouts,6,3.4292,-4.9640,3.0000
7,scouts,7,4.9439,-6.4651,3.0000
7,scouts,8,-3.5106,4.9314,3.0000
7,scouts,9,-5.0561,6.4651,3.0000
7,scouts,10,-6.5708,4.9640,3.0000
7,scouts,11,-5.0454,3.4357,3.0000
7,scouts,12,6.5708,4.9640,3.0000
7,scouts,13,5.0561,6.4651,3.0000
7,scouts,14,3.5106,4.9314,3.0000
7,scouts,15,5.0454,3.4357,3.0000
7,workers,0,-3.0000,-5.0000,3.0000
7,workers,1,7.0000,-5.0000,3.0000
7,workers,2,-3.0000,5.0000,3.0000
7,workers,3,7.0000,5.0000,3.0000
8,general,0,0.0000,0.0000,5.0000
8,nodes,0,-4.9589,-4.9572,3.0000
8,nodes,1,4.9589,-4.9573,3.0000
8,nodes,2,-5.0411,4.9572,3.0000
8,nodes,3,5.0412,4.9573,3.0000
8,scouts,0,-3.4148,-4.9567,3.0000
8,scouts,1,-4.9454,-3.4227,3.0000
8,scouts,2,-6.4872,-4.9175,3.0000
8,scouts,3,-4.9326,-6.4580,3.0000
8,scouts,4,6.4872,-4.9175,3.0000
8,scouts,5,4.9454,-3.4227,3.0000
8,scouts,6,3.4148,-4.9567,3.0000
8,scouts,7,4.9326,-6.4580,3.0000
8,scouts,8,-3.5128,4.9175,3.0000
8,scouts,9,-5.0674,6.4580,3.0000
8,scouts,10,-6.5852,4.9567,3.0000
8,scouts,11,-5.0546,3.4227,3.0000
8,scouts,12,6.5852,4.9567,3.0000
8,scouts,13,5.0674,6.4580,3.0000
8,scouts,14,3.5128,4.9175,3.0000
8,scouts,15,5.0546,3.4227,3.0000
8,workers,0,-3.0000,-5.0000,3.0000
8,workers,1,7.0000,-5.0000,3.0000
8,workers,2,-3.0000,5.0000,3.0000
8,workers,3,7.0000,5.0000,3.0000
9,general,0,0.0000,0.0000,5.0000
9,nodes,0,-4.9533,-4.9513,3.0000
9,nodes,1,4.9533,-4.9514,3.0000
9,nodes,2,-5.0467,4.9513,3.0000
9,nodes,3,5.0468,4.9513,3.0000
9,scouts,0,-3.3998,-4.9490,3.0000
9,scouts,1,-4.9357,-3.4090,3.0000
9,scouts,2,-6.4849,-4.9029,3.0000
9,scouts,3,-4.9206,-6.4506,3.0000
9,scouts,4,6.4849,-4.9029,3.0000
9,scouts,5,4.9357,-3.4090,3.0000
9,scouts,6,3.3998,-4.9490,3.0000
9,scouts,7,4.9206,-6.4506,3.0000
9,scouts,8,-3.5151,4.9029,3.0000
9,scouts,9,-5.0794,6.4506,3.0000
9,scouts,10,-6.6002,4.9490,3.0000
9,scouts,11,-5.0643,3.4090,3.0000
9,scouts,12,6.6002,4.9490,3.0000
9,scouts,13,5.0794,6.4506,3.0000
9,scouts,14,3.5151,4.9029,3.0000
9,scouts,15,5.0643,3.4090,3.0000
9,workers,0,-3.0000,-5.0000,3.0000
9,workers,1,7.0000,-5.0000,3.0000
9,workers,2,-3.0000,5.0000,3.0000
9,workers,3,7.0000,5.0000,3.0000
10,general,0,0.0000,0.0000,5.0000
10,nodes,0,-4.9476,-4.9452,3.0000
10,nodes,1,4.9476,-4.9453,3.0000
10,nodes,2,-5.0524,4.9451,3.0000
10,nodes,3,5.0526,4.9453,3.0000
10,scouts,0,-3.3841,-4.9410,3.0000
10,scouts,1,-4.9257,-3.3947,3.0000
10,scouts,2,-6.4825,-4.8876,3.0000
10,scouts,3,-4.9082,-6.4428,3.0000
10,scouts,4,6.4825,-4.8876,3.0000
10,scouts,5,4.9257,-3.3947,3.0000
10,scouts,6,3.3841,-4.9410,3.0000
10,scouts,7,4.9082,-6.4428,3.0000
10,scouts,8,-3.5175,4.8876,3.0000
10,scouts,9,-5.0918,6.4428,3.0000
10,scouts,10,-6.6159,4.9410,3.0000
10,scouts,11,-5.0743,3.3947,3.0000
10,scouts,12,6.6159,4.9410,3.0000
10,scouts,13,5.0918,6.4428,3.0000
10,scouts,14,3.5175,4.8876,3.0000
10,scouts,15,5.0743,3.3947,3.0000
10,workers,0,-3.0000,-5.0000,3.0000
10,workers,1,7.0000,-5.0000,3.0000
10,workers,2,-3.0000,5.0000,3.0000
10,workers,3,7.0000,5.0000,3.0000
11,general,0,0.0000,0.0000,5.0000
11,nodes,0,-4.9417,-4.9390,3.0000
11,nodes,1,4.9417,-4.9390,3.0000
11,nodes,2,-5.0583,4.9390,3.0000
11,nodes,3,5.0585,4.9390,3.0000
11,scouts,0,-3.3678,-4.9327,3.0000
11,scouts,1,-4.9152,-3.3800,3.0000
