frame,tier,agent_idx,x,y,z
0,general,0,0.0000,0.0000,5.0000
0,nodes,0,-5.0000,-5.0000,3.0000
0,nodes,1,5.0000,-5.0000,3.0000
0,nodes,2,-5.0000,5.0000,3.0000
0,nodes,3,5.0000,5.0000,3.0000
0,scouts,0,-3.5000,-5.0000,3.0000
0,scouts,1,-5.0000,-3.5000,3.0000
0,scouts,2,-6.5000,-5.0000,3.0000
0,scouts,3,-5.0000,-6.5000,3.0000
0,scouts,4,6.5000,-5.0000,3.0000
0,scouts,5,5.0000,-3.5000,3.0000
0,scouts,6,3.5000,-5.0000,3.0000
0,scouts,7,5.0000,-6.5000,3.0000
0,scouts,8,-3.5000,5.0000,3.0000
0,scouts,9,-5.0000,6.5000,3.0000
0,scouts,10,-6.5000,5.0000,3.0000
0,scouts,11,-5.0000,3.5000,3.0000
0,scouts,12,6.5000,5.0000,3.0000
0,scouts,13,5.0000,6.5000,3.0000
0,scouts,14,3.5000,5.0000,3.0000
0,scouts,15,5.0000,3.5000,3.0000
0,workers,0,-3.0000,-5.0000,3.0000
0,workers,1,7.0000,-5.0000,3.0000
0,workers,2,-3.0000,5.0000,3.0000
0,workers,3,7.0000,5.0000,3.0000
1,general,0,0.0000,0.0000,5.0000
1,nodes,0,-5.0000,-5.0001,3.0000
1,nodes,1,5.0000,-5.0000,3.0000
1,nodes,2,-5.0000,5.0000,3.0000
1,nodes,3,5.0000,5.0000,3.0000
1,scouts,0,-3.5000,-5.0000,3.0000
1,scouts,1,-5.0000,-3.5000,3.0000
1,scouts,2,-6.5000,-5.0000,3.0000
1,scouts,3,-5.0000,-6.5000,3.0000
1,scouts,4,6.5000,-5.0000,3.0000
1,scouts,5,5.0000,-3.5000,3.0000
1,scouts,6,3.5000,-5.0000,3.0000
1,scouts,7,5.0000,-6.5000,3.0000
1,scouts,8,-3.5000,5.0000,3.0000
1,scouts,9,-5.0000,6.5000,3.0000
1,scouts,10,-6.5000,5.0000,3.0000
1,scouts,11,-5.0000,3.5000,3.0000
1,scouts,12,6.5000,5.0000,3.0000
1,scouts,13,5.0000,6.5000,3.0000
1,scouts,14,3.5000,5.0000,3.0000
1,scouts,15,5.0000,3.5000,3.0000
1,workers,0,-3.0000,-5.0000,3.0000
1,workers,1,7.0000,-5.0000,3.0000
1,workers,2,-3.0000,5.0000,3.0000
1,workers,3,7.0000,5.0000,3.0000
2,general,0,0.0000,0.0000,5.0000
2,nodes,0,-5.0000,-5.0001,3.0000
2,nodes,1,5.0000,-5.0000,3.0000
2,nodes,2,-5.0000,5.0000,3.0000
2,nodes,3,5.0000,4.9999,3.0000
2,scouts,0,-3.5000,-5.0000,3.0000
2,scouts,1,-5.0000,-3.5000,3.0000
2,scouts,2,-6.5000,-5.0000,3.0000
2,scouts,3,-5.0000,-6.5000,3.0000
2,scouts,4,6.5000,-5.0000,3.0000
2,scouts,5,5.0000,-3.5000,3.0000
2,scouts,6,3.5000,-5.0000,3.0000
2,scouts,7,5.0000,-6.5000,3.0000
2,scouts,8,-3.5000,5.0000,3.0000
2,scouts,9,-5.0000,6.5000,3.0000
2,scouts,10,-6.5000,5.0000,3.0000
2,scouts,11,-5.0000,3.5000,3.0000
2,scouts,12,6.5000,5.0000,3.0000
2,scouts,13,5.0000,6.5000,3.0000
2,scouts,14,3.5000,5.0000,3.0000
2,scouts,15,5.0000,3.5000,3.0000
2,workers,0,-3.0000,-5.0000,3.0000
2,workers,1,7.0000,-5.0000,3.0000
2,workers,2,-3.0000,5.0000,3.0000
2,workers,3,7.0000,5.0000,3.0000
3,general,0,0.0000,0.0000,5.0000
3,nodes,0,-5.0000,-5.0001,3.0000
3,nodes,1,5.0000,-5.0000,3.0000
3,nodes,2,-5.0000,5.0000,3.0000
3,nodes,3,5.0000,4.9999,3.0000
3,scouts,0,-3.5000,-5.0000,3.0000
3,scouts,1,-5.0000,-3.5000,3.0000
3,scouts,2,-6.5000,-5.0000,3.0000
3,scouts,3,-5.0000,-6.5000,3.0000
3,scouts,4,6.5000,-5.0000,3.0000
3,scouts,5,5.0000,-3.5000,3.0000
3,scouts,6,3.5000,-5.0000,3.0000
3,scouts,7,5.0000,-6.5000,3.0000
3,scouts,8,-3.5000,5.0000,3.0000
3,scouts,9,-5.0000,6.5000,3.0000
3,scouts,10,-6.5000,5.0000,3.0000
3,scouts,11,-5.0000,3.5000,3.0000
3,scouts,12,6.5000,5.0000,3.0000
3,scouts,13,5.0000,6.5000,3.0000
3,scouts,14,3.5000,5.0000,3.0000
3,scouts,15,5.0000,3.5000,3.0000
3,workers,0,-3.0000,-5.0000,3.0000
3,workers,1,7.0000,-5.0000,3.0000
3,workers,2,-3.0000,5.0000,3.0000
3,workers,3,7.0000,5.0000,3.0000
4,general,0,0.0000,0.0000,5.0000
4,nodes,0,-5.0000,-5.0001,3.0000
4,nodes,1,5.0000,-5.0000,3.0000
4,nodes,2,-5.0000,5.0000,3.0000
4,nodes,3,5.0000,4.9998,3.0000
4,scouts,0,-3.5000,-5.0000,3.0000
4,scouts,1,-5.0000,-3.5000,3.0000
4,scouts,2,-6.5000,-5.0000,3.0000
4,scouts,3,-5.0000,-6.5000,3.0000
4,scouts,4,6.5000,-5.0000,3.0000
4,scouts,5,5.0000,-3.5000,3.0000
4,scouts,6,3.5000,-5.0000,3.0000
4,scouts,7,5.0000,-6.5000,3.0000
4,scouts,8,-3.5000,5.0000,3.0000
4,scouts,9,-5.0000,6.5000,3.0000
4,scouts,10,-6.5000,5.0000,3.0000
4,scouts,11,-5.0000,3.5000,3.0000
4,scouts,12,6.5000,5.0000,3.0000
4,scouts,13,5.0000,6.5000,3.0000
4,scouts,14,3.5000,5.0000,3.0000
4,scouts,15,5.0000,3.5000,3.0000
4,workers,0,-3.0000,-5.0000,3.0000
4,workers,1,7.0000,-5.0000,3.0000
4,workers,2,-3.0000,5.0000,3.0000
4,workers,3,7.0000,5.0000,3.0000
5,general,0,0.0000,0.0000,5.0000
5,nodes,0,-5.0000,-5.0000,3.0000
5,nodes,1,5.0001,-4.9999,3.0000
5,nodes,2,-5.0000,5.0000,3.0000
5,nodes,3,5.0001,4.9997,3.0000
5,scouts,0,-3.5000,-5.0000,3.0000
5,scouts,1,-5.0000,-3.5000,3.0000
5,scouts,2,-6.5000,-5.0000,3.0000
5,scouts,3,-5.0000,-6.5000,3.0000
5,scouts,4,6.5000,-5.0000,3.0000
5,scouts,5,5.0000,-3.5000,3.0000
5,scouts,6,3.5000,-5.0000,3.0000
5,scouts,7,5.0000,-6.5000,3.0000
5,scouts,8,-3.5000,5.0000,3.0000
