frame,timestamp,mission_phase,active_zones,overall_health,mean_scout_speed,max_scout_speed,mean_node_speed,manual_mode,bias_x,bias_y,altitude
1,2.467,EXPLORE,8,1.000,0.102,0.102,0.510,0,0.00,0.00,3.00
2,4.907,EXPLORE,8,1.000,0.188,0.189,0.533,0,0.00,0.00,3.00
3,7.321,EXPLORE,8,1.000,0.260,0.260,0.545,0,0.00,0.00,3.00
4,9.732,EXPLORE,8,1.000,0.319,0.319,0.555,0,0.00,0.00,3.00
5,13.130,EXPLORE,8,1.000,0.362,0.362,0.533,0,0.00,0.00,3.00
6,15.537,EXPLORE,8,1.000,0.397,0.398,0.540,0,0.00,0.00,3.00
7,18.485,EXPLORE,8,1.000,0.428,0.428,0.549,0,0.00,0.00,3.00
8,21.107,EXPLORE,8,1.000,0.453,0.454,0.557,0,0.00,0.00,3.00
9,23.462,EXPLORE,8,1.000,0.475,0.476,0.563,0,0.00,0.00,3.00
10,25.280,EXPLORE,8,1.000,0.494,0.495,0.569,0,0.00,0.00,3.00
11,26.972,EXPLORE,8,1.000,0.510,0.510,0.573,0,0.00,0.00,3.00
12,28.819,EXPLORE,8,1.000,0.523,0.524,0.577,0,0.00,0.00,3.00
13,30.570,EXPLORE,8,1.000,0.535,0.535,0.581,0,0.00,0.00,3.00
14,32.304,EXPLORE,8,1.000,0.545,0.545,0.584,0,0.00,0.00,3.00
15,33.992,EXPLORE,8,1.000,0.553,0.553,0.586,0,0.00,0.00,3.00
16,35.671,EXPLORE,8,1.000,0.560,0.560,0.589,0,0.00,0.00,3.00
17,37.352,EXPLORE,8,1.000,0.566,0.567,0.591,0,0.00,0.00,3.00
18,39.091,EXPLORE,8,1.000,0.572,0.572,0.593,0,0.00,0.00,3.00
19,40.855,EXPLORE,8,1.000,0.576,0.576,0.592,0,0.00,0.00,3.00
20,42.724,EXPLORE,8,1.000,0.579,0.580,0.594,0,0.00,0.00,3.00
