frame,tier,agent_idx,x,y,z
0,general,0,0.0000,0.0000,5.0000
0,nodes,0,-4.9959,-4.9958,3.0000
0,nodes,1,4.9958,-4.9959,3.0000
0,nodes,2,-5.0040,4.9960,3.0000
0,nodes,3,5.0041,4.9959,3.0000
0,scouts,0,-3.5040,-5.0032,3.0000
0,scouts,1,-5.0013,-3.5049,3.0000
0,scouts,2,-6.4972,-5.0045,3.0000
0,scouts,3,-4.9952,-6.5034,3.0000
0,scouts,4,6.4960,-5.0032,3.0000
0,scouts,5,4.9987,-3.5049,3.0000
0,scouts,6,3.5028,-5.0045,3.0000
0,scouts,7,5.0048,-6.5034,3.0000
0,scouts,8,-3.5040,4.9968,3.0000
0,scouts,9,-5.0013,6.4951,3.0000
0,scouts,10,-6.4972,4.9955,3.0000
0,scouts,11,-4.9952,3.4966,3.0000
0,scouts,12,6.4960,4.9968,3.0000
0,scouts,13,4.9987,6.4951,3.0000
0,scouts,14,3.5028,4.9955,3.0000
0,scouts,15,5.0048,3.4966,3.0000
0,workers,0,-3.0000,-5.0000,3.0000
0,workers,1,7.0000,-5.0000,3.0000
0,workers,2,-3.0000,5.0000,3.0000
0,workers,3,7.0000,5.0000,3.0000
1,general,0,0.0000,0.0000,5.0000
1,nodes,0,-4.9932,-4.9950,3.0000
1,nodes,1,4.9936,-4.9951,3.0000
1,nodes,2,-5.0063,4.9918,3.0000
1,nodes,3,5.0068,4.9918,3.0000
1,scouts,0,-3.5115,-5.0093,3.0000
1,scouts,1,-5.0037,-3.5141,3.0000
1,scouts,2,-6.4920,-5.0128,3.0000
1,scouts,3,-4.9863,-6.5096,3.0000
1,scouts,4,6.4885,-5.0093,3.0000
1,scouts,5,4.9963,-3.5141,3.0000
1,scouts,6,3.5080,-5.0128,3.0000
1,scouts,7,5.0137,-6.5096,3.0000
1,scouts,8,-3.5115,4.9907,3.0000
1,scouts,9,-5.0037,6.4859,3.0000
1,scouts,10,-6.4920,4.9872,3.0000
1,scouts,11,-4.9863,3.4904,3.0000
1,scouts,12,6.4885,4.9907,3.0000
1,scouts,13,4.9963,6.4859,3.0000
1,scouts,14,3.5080,4.9872,3.0000
1,scouts,15,5.0137,3.4904,3.0000
1,workers,0,-3.0000,-5.0000,3.0000
1,workers,1,7.0000,-5.0000,3.0000
1,workers,2,-3.0000,5.0000,3.0000
1,workers,3,7.0000,5.0000,3.0000
2,general,0,0.0000,0.0000,5.0000
2,nodes,0,-4.9897,-4.9942,3.0000
2,nodes,1,4.9908,-4.9943,3.0000
2,nodes,2,-5.0091,4.9864,3.0000
2,nodes,3,5.0102,4.9863,3.0000
2,scouts,0,-3.5221,-5.0177,3.0000
2,scouts,1,-5.0071,-3.5269,3.0000
2,scouts,2,-6.4847,-5.0246,3.0000
2,scouts,3,-4.9739,-6.5184,3.0000
2,scouts,4,6.4779,-5.0177,3.0000
2,scouts,5,4.9929,-3.5269,3.0000
2,scouts,6,3.5153,-5.0246,3.0000
2,scouts,7,5.0261,-6.5184,3.0000
2,scouts,8,-3.5221,4.9823,3.0000
2,scouts,9,-5.0071,6.4731,3.0000
2,scouts,10,-6.4847,4.9754,3.0000
