frame,tier,agent_idx,x,y,z
0,general,0,0.0000,0.0000,5.0000
0,nodes,0,-4.9958,-4.9959,3.0000
0,nodes,1,4.9959,-4.9958,3.0000
0,nodes,2,-5.0042,4.9959,3.0000
0,nodes,3,5.0041,4.9959,3.0000
0,scouts,0,-3.5321,-5.0257,3.0000
0,scouts,1,-5.0090,-3.5375,3.0000
0,scouts,2,-6.4944,-5.0273,3.0000
0,scouts,3,-4.9610,-6.5261,3.0000
0,scouts,4,6.4715,-5.0273,3.0000
0,scouts,5,4.9909,-3.5213,3.0000
0,scouts,6,3.5145,-5.0407,3.0000
0,scouts,7,5.0313,-6.5227,3.0000
0,scouts,8,-3.5242,4.9808,3.0000
0,scouts,9,-5.0115,6.4575,3.0000
0,scouts,10,-6.4856,4.9625,3.0000
0,scouts,11,-4.9663,3.4778,3.0000
0,scouts,12,6.4648,4.9726,3.0000
0,scouts,13,4.9923,6.4710,3.0000
0,scouts,14,3.5193,4.9705,3.0000
0,scouts,15,5.0314,3.4794,3.0000
0,workers,0,-3.0000,-5.0000,3.0000
0,workers,1,7.0000,-5.0000,3.0000
0,workers,2,-3.0000,5.0000,3.0000
0,workers,3,7.0000,5.0000,3.0000
1,general,0,0.0000,0.0000,5.0000
1,nodes,0,-4.9930,-5.0050,3.0000
1,nodes,1,4.9942,-5.0046,3.0000
1,nodes,2,-5.0053,4.9813,3.0000
1,nodes,3,5.0074,4.9828,3.0000
1,scouts,0,-3.5642,-5.0513,3.0000
1,scouts,1,-5.0179,-3.5750,3.0000
1,scouts,2,-6.4887,-5.0547,3.0000
1,scouts,3,-4.9219,-6.5522,3.0000
1,scouts,4,6.4429,-5.0544,3.0000
1,scouts,5,4.9818,-3.5425,3.0000
1,scouts,6,3.5291,-5.0815,3.0000
1,scouts,7,5.0627,-6.5453,3.0000
1,scouts,8,-3.5484,4.9617,3.0000
1,scouts,9,-5.0229,6.4149,3.0000
1,scouts,10,-6.4712,4.9249,3.0000
1,scouts,11,-4.9326,3.4557,3.0000
1,scouts,12,6.4296,4.9453,3.0000
1,scouts,13,4.9847,6.4420,3.0000
1,scouts,14,3.5386,4.9409,3.0000
1,scouts,15,5.0627,3.4587,3.0000
1,workers,0,-3.0000,-5.0000,3.0000
1,workers,1,7.0000,-5.0000,3.0000
1,workers,2,-3.0000,5.0000,3.0000
1,workers,3,7.0000,5.0000,3.0000
2,general,0,0.0000,0.0000,5.0000
2,nodes,0,-4.9897,-5.0089,3.0000
2,nodes,1,4.9916,-5.0081,3.0000
2,nodes,2,-5.0078,4.9708,3.0000
2,nodes,3,5.0110,4.9732,3.0000
2,scouts,0,-3.5964,-5.0770,3.0000
2,scouts,1,-5.0269,-3.6125,3.0000
2,scouts,2,-6.4830,-5.0823,3.0000
2,scouts,3,-4.8828,-6.5783,3.0000
2,scouts,4,6.4143,-5.0813,3.0000
2,scouts,5,4.9727,-3.5635,3.0000
2,scouts,6,3.5438,-5.1223,3.0000
2,scouts,7,5.0941,-6.5679,3.0000
2,scouts,8,-3.5727,4.9426,3.0000
2,scouts,9,-5.0343,6.3724,3.0000
2,scouts,10,-6.4568,4.8872,3.0000
2,scouts,11,-4.8988,3.4335,3.0000
2,scouts,12,6.3943,4.9179,3.0000
2,scouts,13,4.9770,6.4130,3.0000
2,scouts,14,3.5579,4.9114,3.0000
2,scouts,15,5.0941,3.4381,3.0000
2,workers,0,-3.0000,-5.0000,3.0000
2,workers,1,7.0000,-5.0000,3.0000
2,workers,2,-3.0000,5.0000,3.0000
2,workers,3,7.0000,5.0000,3.0000
3,general,0,0.0000,0.0000,5.0000
3,nodes,0,-4.9866,-5.0149,3.0000
3,nodes,1,4.9894,-5.0138,3.0000
3,nodes,2,-5.0097,4.9588,3.0000
3,nodes,3,5.0145,4.9622,3.0000
3,scouts,0,-3.6285,-5.1026,3.0000
3,scouts,1,-5.0358,-3.6500,3.0000
3,scouts,2,-6.4773,-5.1100,3.0000
3,scouts,3,-4.8437,-6.6043,3.0000
3,scouts,4,6.3857,-5.1081,3.0000
3,scouts,5,4.9636,-3.5843,3.0000
3,scouts,6,3.5586,-5.1633,3.0000
3,scouts,7,5.1255,-6.5905,3.0000
3,scouts,8,-3.5969,4.9234,3.0000
3,scouts,9,-5.0458,6.3299,3.0000
3,scouts,10,-6.4423,4.8495,3.0000
3,scouts,11,-4.8651,3.4114,3.0000
3,scouts,12,6.3591,4.8906,3.0000
3,scouts,13,4.9694,6.3840,3.0000
3,scouts,14,3.5726,4.8770,3.0000
3,scouts,15,5.1255,3.4175,3.0000
3,workers,0,-3.0000,-5.0000,3.0000
3,workers,1,7.0000,-5.0000,3.0000
3,workers,2,-3.0000,5.0000,3.0000
3,workers,3,7.0000,5.0000,3.0000
4,general,0,0.0000,0.0000,5.0000
4,nodes,0,-4.9834,-5.0201,3.0000
4,nodes,1,4.9871,-5.0185,3.0000
4,nodes,2,-5.0118,4.9474,3.0000
4,nodes,3,5.0176,4.9514,3.0000
4,scouts,0,-3.6542,-5.1203,3.0000
4,scouts,1,-5.0448,-3.6876,3.0000
4,scouts,2,-6.4715,-5.1378,3.0000
4,scouts,3,-4.8046,-6.6303,3.0000
