frame,tier,agent_idx,x,y,z
0,general,0,0.0000,0.0000,5.0000
0,nodes,0,-4.9959,-4.9958,3.0000
0,nodes,1,4.9958,-4.9959,3.0000
0,nodes,2,-5.0041,4.9959,3.0000
0,nodes,3,5.0041,4.9959,3.0000
0,scouts,0,-3.5058,-5.0045,3.0000
0,scouts,1,-5.0016,-3.5062,3.0000
0,scouts,2,-6.4964,-5.0055,3.0000
0,scouts,3,-4.9948,-6.5050,3.0000
0,scouts,4,6.4951,-5.0041,3.0000
0,scouts,5,4.9980,-3.5055,3.0000
0,scouts,6,3.5037,-5.0057,3.0000
0,scouts,7,5.0070,-6.5068,3.0000
0,scouts,8,-3.5042,4.9965,3.0000
0,scouts,9,-5.0019,6.4942,3.0000
0,scouts,10,-6.4962,4.9941,3.0000
0,scouts,11,-4.9945,3.4962,3.0000
0,scouts,12,6.4969,4.9961,3.0000
0,scouts,13,4.9982,6.4938,3.0000
0,scouts,14,3.5027,4.9937,3.0000
0,scouts,15,5.0056,3.4961,3.0000
0,workers,0,-3.0000,-5.0000,3.0000
0,workers,1,7.0000,-5.0000,3.0000
0,workers,2,-3.0000,5.0000,3.0000
0,workers,3,7.0000,5.0000,3.0000
1,general,0,0.0000,0.0000,5.0000
1,nodes,0,-4.9932,-4.9955,3.0000
1,nodes,1,4.9937,-4.9956,3.0000
1,nodes,2,-5.0063,4.9915,3.0000
1,nodes,3,5.0070,4.9914,3.0000
1,scouts,0,-3.5166,-5.0128,3.0000
1,scouts,1,-5.0045,-3.5176,3.0000
1,scouts,2,-6.4898,-5.0155,3.0000
1,scouts,3,-4.9854,-6.5143,3.0000
1,scouts,4,6.4862,-5.0115,3.0000
1,scouts,5,4.9943,-3.5156,3.0000
1,scouts,6,3.5106,-5.0162,3.0000
1,scouts,7,5.0199,-6.5193,3.0000
1,scouts,8,-3.5119,4.9902,3.0000
1,scouts,9,-5.0053,6.4835,3.0000
1,scouts,10,-6.4894,4.9833,3.0000
1,scouts,11,-4.9844,3.4891,3.0000
1,scouts,12,6.4912,4.9890,3.0000
1,scouts,13,4.9949,6.4824,3.0000
1,scouts,14,3.5076,4.9822,3.0000
1,scouts,15,5.0157,3.4889,3.0000
1,workers,0,-3.0000,-5.0000,3.0000
1,workers,1,7.0000,-5.0000,3.0000
1,workers,2,-3.0000,5.0000,3.0000
1,workers,3,7.0000,5.0000,3.0000
2,general,0,0.0000,0.0000,5.0000
2,nodes,0,-4.9899,-4.9954,3.0000
2,nodes,1,4.9911,-4.9956,3.0000
2,nodes,2,-5.0089,4.9856,3.0000
2,nodes,3,5.0105,4.9853,3.0000
2,scouts,0,-3.5314,-5.0243,3.0000
2,scouts,1,-5.0086,-3.5334,3.0000
2,scouts,2,-6.4806,-5.0292,3.0000
2,scouts,3,-4.9724,-6.5270,3.0000
2,scouts,4,6.4739,-5.0218,3.0000
2,scouts,5,4.9893,-3.5296,3.0000
2,scouts,6,3.5200,-5.0306,3.0000
2,scouts,7,5.0376,-6.5365,3.0000
2,scouts,8,-3.5225,4.9814,3.0000
2,scouts,9,-5.0100,6.4688,3.0000
2,scouts,10,-6.4799,4.9683,3.0000
