frame,timestamp,tier,agent_index,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,speed,extra
1,2.467,GENERAL,0,0.000,0.000,5.000,0.000,0.000,0.000,0.000,N/A
1,2.467,NODE,0,-5.002,-4.992,3.000,-0.114,0.495,0.000,0.508,zone=0 dist=0.00m
1,2.467,NODE,1,5.002,-4.992,3.000,0.117,0.497,0.000,0.511,zone=1 dist=0.00m
1,2.467,NODE,2,-4.994,4.994,3.000,0.362,-0.361,0.000,0.512,zone=2 dist=0.00m
1,2.467,NODE,3,4.994,4.994,3.000,-0.361,-0.361,0.000,0.511,zone=3 dist=0.00m
1,2.467,SCOUT,0,-3.500,-4.998,3.000,-0.023,0.099,0.000,0.102,cmd_age=0.02s bat=1.00 dist=0.00m
1,2.467,SCOUT,1,-5.000,-3.498,3.000,-0.023,0.099,0.000,0.102,cmd_age=0.02s bat=1.00 dist=0.00m
1,2.467,SCOUT,2,-6.500,-4.998,3.000,-0.023,0.099,0.000,0.102,cmd_age=0.02s bat=1.00 dist=0.00m
1,2.467,SCOUT,3,-5.000,-6.498,3.000,-0.023,0.099,0.000,0.102,cmd_age=0.02s bat=1.00 dist=0.00m
1,2.467,SCOUT,4,6.500,-4.998,3.000,0.023,0.099,0.000,0.102,cmd_age=0.02s bat=1.00 dist=0.00m
1,2.467,SCOUT,5,5.000,-3.498,3.000,0.023,0.099,0.000,0.102,cmd_age=0.02s bat=1.00 dist=0.00m
1,2.467,SCOUT,6,3.500,-4.998,3.000,0.023,0.099,0.000,0.102,cmd_age=0.02s bat=1.00 dist=0.00m
1,2.467,SCOUT,7,5.000,-6.498,3.000,0.023,0.099,0.000,0.102,cmd_age=0.02s bat=1.00 dist=0.00m
1,2.467,SCOUT,8,-3.499,4.999,3.000,0.072,-0.072,0.000,0.102,cmd_age=0.02s bat=1.00 dist=0.00m
1,2.467,SCOUT,9,-4.999,6.499,3.000,0.072,-0.072,0.000,0.102,cmd_age=0.02s bat=1.00 dist=0.00m
1,2.467,SCOUT,10,-6.499,4.999,3.000,0.072,-0.072,0.000,0.102,cmd_age=0.02s bat=1.00 dist=0.00m
1,2.467,SCOUT,11,-4.999,3.499,3.000,0.072,-0.072,0.000,0.102,cmd_age=0.02s bat=1.00 dist=0.00m
