frame,timestamp,mission_phase,active_zones,overall_health,mean_scout_speed,max_scout_speed,mean_node_speed,manual_mode,bias_x,bias_y,altitude
1,0.267,EXPLORE,8,1.000,0.102,0.102,0.510,0,0.00,0.00,3.00
2,0.896,EXPLORE,8,1.000,0.188,0.189,0.533,0,0.00,0.00,3.00
3,1.069,EXPLORE,8,1.000,0.260,0.260,0.546,0,0.00,0.00,3.00
4,1.490,EXPLORE,8,1.000,0.319,0.319,0.555,0,0.00,0.00,3.00
5,1.662,EXPLORE,8,1.000,0.368,0.368,0.563,0,0.00,0.00,3.00
6,1.839,EXPLORE,8,1.000,0.408,0.409,0.570,0,0.00,0.00,3.00
7,2.048,EXPLORE,8,1.000,0.441,0.442,0.575,0,0.00,0.00,3.00
8,2.398,EXPLORE,8,1.000,0.469,0.469,0.579,0,0.00,0.00,3.00
9,2.575,EXPLORE,8,1.000,0.492,0.492,0.583,0,0.00,0.00,3.00
10,3.078,EXPLORE,8,1.000,0.510,0.511,0.585,0,0.00,0.00,3.00
11,3.250,EXPLORE,8,1.000,0.526,0.526,0.588,0,0.00,0.00,3.00
12,3.629,EXPLORE,8,1.000,0.539,0.539,0.591,0,0.00,0.00,3.00
13,3.926,EXPLORE,8,1.000,0.550,0.551,0.593,0,0.00,0.00,3.00
14,4.121,EXPLORE,8,1.000,0.558,0.559,0.593,0,0.00,0.00,3.00
15,4.372,EXPLORE,8,1.000,0.566,0.566,0.595,0,0.00,0.00,3.00
16,5.084,EXPLORE,8,1.000,0.572,0.573,0.596,0,0.00,0.00,3.00
17,5.532,EXPLORE,8,1.000,0.577,0.577,0.595,0,0.00,0.00,3.00
18,5.971,EXPLORE,8,1.000,0.581,0.581,0.598,0,0.00,0.00,3.00
19,6.396,EXPLORE,8,1.000,0.584,0.585,0.598,0,0.00,0.00,3.00
20,9.145,EXPLORE,8,1.000,0.587,0.587,0.597,0,0.00,0.00,3.00
21,9.334,EXPLORE,8,1.000,0.589,0.590,0.598,0,0.00,0.00,3.00
22,9.879,EXPLORE,8,1.000,0.591,0.592,0.599,0,0.00,0.00,3.00
23,10.071,EXPLORE,8,1.000,0.593,0.593,0.599,0,0.00,0.00,3.00
24,10.978,EXPLORE,8,1.000,0.594,0.594,0.599,0,0.00,0.00,3.00
25,11.495,EXPLORE,8,1.000,0.595,0.595,0.599,0,0.00,0.00,3.00
26,11.719,EXPLORE,8,1.000,0.596,0.596,0.600,0,0.00,0.00,3.00
27,11.933,EXPLORE,8,1.000,0.597,0.597,0.599,0,0.00,0.00,3.00
28,12.334,EXPLORE,8,1.000,0.597,0.597,0.600,0,0.00,0.00,3.00
29,12.540,EXPLORE,8,1.000,0.598,0.598,0.600,0,0.00,0.00,3.00
30,12.747,EXPLORE,8,1.000,0.598,0.598,0.600,0,0.00,0.00,3.00
31,12.970,EXPLORE,8,1.000,0.598,0.599,0.599,0,0.00,0.00,3.00
32,13.184,EXPLORE,8,1.000,0.599,0.599,0.601,0,0.00,0.00,3.00
33,13.766,EXPLORE,8,1.000,0.599,0.600,0.599,0,0.00,0.00,3.00
34,13.956,EXPLORE,8,1.000,0.599,0.600,0.601,0,0.00,0.00,3.00
35,14.145,EXPLORE,8,1.000,0.600,0.601,0.601,0,0.00,0.00,3.00
36,14.368,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
37,14.689,EXPLORE,8,1.000,0.600,0.602,0.601,0,0.00,0.00,3.00
38,14.903,EXPLORE,8,1.000,0.600,0.603,0.601,0,0.00,0.00,3.00
39,15.102,EXPLORE,8,1.000,0.600,0.602,0.599,0,0.00,0.00,3.00
40,15.313,EXPLORE,8,1.000,0.600,0.601,0.601,0,0.00,0.00,3.00
41,15.527,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
42,15.743,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
43,15.977,EXPLORE,8,1.000,0.600,0.600,0.598,0,0.00,0.00,3.00
44,16.199,EXPLORE,8,1.000,0.600,0.601,0.601,0,0.00,0.00,3.00
45,16.418,EXPLORE,8,1.000,0.600,0.600,0.600,0,0.00,0.00,3.00
46,16.635,EXPLORE,8,1.000,0.600,0.600,0.599,0,0.00,0.00,3.00
47,16.852,EXPLORE,8,1.000,0.600,0.600,0.598,0,0.00,0.00,3.00
48,17.068,EXPLORE,8,1.000,0.600,0.600,0.599,0,0.00,0.00,3.00
49,17.289,EXPLORE,8,1.000,0.599,0.600,0.598,0,0.00,0.00,3.00
50,17.503,EXPLORE,8,1.000,0.599,0.600,0.600,0,0.00,0.00,3.00
51,17.972,EXPLORE,8,1.000,0.600,0.600,0.600,0,0.00,0.00,3.00
52,18.180,EXPLORE,8,1.000,0.600,0.600,0.599,0,0.00,0.00,3.00
53,18.396,EXPLORE,8,1.000,0.600,0.600,0.601,0,0.00,0.00,3.00
54,18.886,EXPLORE,8,1.000,0.600,0.601,0.601,0,0.00,0.00,3.00
55,19.181,EXPLORE,8,1.000,0.600,0.600,0.599,0,0.00,0.00,3.00
56,19.434,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
57,19.747,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
58,19.965,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
59,20.179,EXPLORE,8,1.000,0.600,0.601,0.601,0,0.00,0.00,3.00
60,20.413,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
61,20.651,EXPLORE,8,1.000,0.600,0.601,0.601,0,0.00,0.00,3.00
62,20.926,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
63,21.192,EXPLORE,8,1.000,0.600,0.601,0.599,0,0.00,0.00,3.00
64,21.485,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
65,21.701,EXPLORE,8,1.000,0.600,0.601,0.601,0,0.00,0.00,3.00
66,21.955,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
67,22.200,EXPLORE,8,1.000,0.600,0.601,0.601,0,0.00,0.00,3.00
68,22.416,EXPLORE,8,1.000,0.601,0.601,0.602,0,0.00,0.00,3.00
69,22.630,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
70,22.844,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
71,23.050,EXPLORE,8,1.000,0.600,0.600,0.598,0,0.00,0.00,3.00
72,23.264,EXPLORE,8,1.000,0.600,0.600,0.601,0,0.00,0.00,3.00
73,23.503,EXPLORE,8,1.000,0.600,0.601,0.600,0,0.00,0.00,3.00
