frame,tier,agent_idx,x,y,z
5,scouts,4,6.4908,-4.9422,3.0000
5,scouts,5,4.9618,-3.4461,3.0000
5,scouts,6,3.4406,-4.9697,3.0000
5,scouts,7,4.9528,-6.4703,3.0000
5,scouts,8,-3.5092,4.9422,3.0000
5,scouts,9,-5.0472,6.4703,3.0000
5,scouts,10,-6.5594,4.9697,3.0000
5,scouts,11,-5.0382,3.4461,3.0000
5,scouts,12,6.5594,4.9697,3.0000
5,scouts,13,5.0472,6.4703,3.0000
5,scouts,14,3.5092,4.9422,3.0000
5,scouts,15,5.0382,3.4461,3.0000
5,workers,0,-3.0000,-5.0000,3.0000
5,workers,1,7.0000,-5.0000,3.0000
5,workers,2,-3.0000,5.0000,3.0000
5,workers,3,7.0000,5.0000,3.0000
6,general,0,0.0000,0.0000,5.0000
6,nodes,0,-4.9668,-4.9653,3.0000
6,nodes,1,4.9667,-4.9654,3.0000
6,nodes,2,-5.0334,4.9654,3.0000
6,nodes,3,5.0333,4.9655,3.0000
6,scouts,0,-3.4240,-4.9612,3.0000
6,scouts,1,-4.9510,-3.4310,3.0000
6,scouts,2,-6.4882,-4.9260,3.0000
6,scouts,3,-4.9395,-6.4620,3.0000
6,scouts,4,6.4882,-4.9260,3.0000
6,scouts,5,4.9510,-3.4310,3.0000
6,scouts,6,3.4240,-4.9612,3.0000
6,scouts,7,4.9395,-6.4620,3.0000
6,scouts,8,-3.5118,4.9260,3.0000
6,scouts,9,-5.0605,6.4620,3.0000
6,scouts,10,-6.5760,4.9612,3.0000
6,scouts,11,-5.0490,3.4310,3.0000
6,scouts,12,6.5760,4.9612,3.0000
6,scouts,13,5.0605,6.4620,3.0000
6,scouts,14,3.5118,4.9260,3.0000
6,scouts,15,5.0490,3.4310,3.0000
6,workers,0,-3.0000,-5.0000,3.0000
6,workers,1,7.0000,-5.0000,3.0000
6,workers,2,-3.0000,5.0000,3.0000
6,workers,3,7.0000,5.0000,3.0000
7,general,0,0.0000,0.0000,5.0000
7,nodes,0,-4.9607,-4.9588,3.0000
7,nodes,1,4.9607,-4.9589,3.0000
7,nodes,2,-5.0395,4.9589,3.0000
7,nodes,3,5.0395,4.9590,3.0000
7,scouts,0,-3.4061,-4.9520,3.0000
7,scouts,1,-4.9395,-3.4147,3.0000
7,scouts,2,-6.4854,-4.9085,3.0000
7,scouts,3,-4.9252,-6.4530,3.0000
7,scouts,4,6.4854,-4.9085,3.0000
7,scouts,5,4.9395,-3.4147,3.0000
7,scouts,6,3.4061,-4.9520,3.0000
7,scouts,7,4.9252,-6.4530,3.0000
7,scouts,8,-3.5146,4.9085,3.0000
7,scouts,9,-5.0748,6.4530,3.0000
7,scouts,10,-6.5939,4.9520,3.0000
7,scouts,11,-5.0605,3.4147,3.0000
7,scouts,12,6.5939,4.9520,3.0000
7,scouts,13,5.0748,6.4530,3.0000
7,scouts,14,3.5146,4.9085,3.0000
7,scouts,15,5.0605,3.4147,3.0000
7,workers,0,-3.0000,-5.0000,3.0000
7,workers,1,7.0000,-5.0000,3.0000
7,workers,2,-3.0000,5.0000,3.0000
7,workers,3,7.0000,5.0000,3.0000
8,general,0,0.0000,0.0000,5.0000
8,nodes,0,-4.9544,-4.9521,3.0000
8,nodes,1,4.9543,-4.9522,3.0000
8,nodes,2,-5.0458,4.9521,3.0000
8,nodes,3,5.0459,4.9523,3.0000
8,scouts,0,-3.3870,-4.9422,3.0000
8,scouts,1,-4.9272,-3.3975,3.0000
8,scouts,2,-6.4824,-4.8900,3.0000
8,scouts,3,-4.9101,-6.4435,3.0000
8,scouts,4,6.4824,-4.8900,3.0000
8,scouts,5,4.9272,-3.3975,3.0000
8,scouts,6,3.3870,-4.9422,3.0000
8,scouts,7,4.9101,-6.4435,3.0000
8,scouts,8,-3.5176,4.8900,3.0000
8,scouts,9,-5.0899,6.4435,3.0000
8,scouts,10,-6.6130,4.9422,3.0000
8,scouts,11,-5.0728,3.3975,3.0000
8,scouts,12,6.6130,4.9422,3.0000
8,scouts,13,5.0899,6.4435,3.0000
8,scouts,14,3.5176,4.8900,3.0000
8,scouts,15,5.0728,3.3975,3.0000
8,workers,0,-3.0000,-5.0000,3.0000
8,workers,1,7.0000,-5.0000,3.0000
8,workers,2,-3.0000,5.0000,3.0000
8,workers,3,7.0000,5.0000,3.0000
9,general,0,0.0000,0.0000,5.0000
9,nodes,0,-4.9479,-4.9452,3.0000
9,nodes,1,4.9477,-4.9452,3.0000
9,nodes,2,-5.0523,4.9452,3.0000
9,nodes,3,5.0524,4.9453,3.0000
9,scouts,0,-3.3671,-4.9320,3.0000
9,scouts,1,-4.9143,-3.3793,3.0000
9,scouts,2,-6.4793,-4.8705,3.0000
9,scouts,3,-4.8941,-6.4335,3.0000
9,scouts,4,6.4793,-4.8705,3.0000
9,scouts,5,4.9143,-3.3793,3.0000
9,scouts,6,3.3671,-4.9320,3.0000
9,scouts,7,4.8941,-6.4335,3.0000
9,scouts,8,-3.5207,4.8705,3.0000
9,scouts,9,-5.1059,6.4335,3.0000
9,scouts,10,-6.6329,4.9320,3.0000
9,scouts,11,-5.0857,3.3793,3.0000
9,scouts,12,6.6329,4.9320,3.0000
9,scouts,13,5.1059,6.4335,3.0000
9,scouts,14,3.5207,4.8705,3.0000
9,scouts,15,5.0857,3.3793,3.0000
9,workers,0,-3.0000,-5.0000,3.0000
9,workers,1,7.0000,-5.0000,3.0000
9,workers,2,-3.0000,5.0000,3.0000
9,workers,3,7.0000,5.0000,3.0000
10,general,0,0.0000,0.0000,5.0000
10,nodes,0,-4.9413,-4.9380,3.0000
10,nodes,1,4.9411,-4.9381,3.0000
10,nodes,2,-5.0589,4.9382,3.0000
10,nodes,3,5.0591,4.9382,3.0000
10,scouts,0,-3.3463,-4.9213,3.0000
10,scouts,1,-4.9008,-3.3604,3.0000
10,scouts,2,-6.4760,-4.8501,3.0000
10,scouts,3,-4.8775,-6.4230,3.0000
10,scouts,4,6.4760,-4.8501,3.0000
10,scouts,5,4.9008,-3.3604,3.0000
10,scouts,6,3.3463,-4.9213,3.0000
10,scouts,7,4.8775,-6.4231,3.0000
10,scouts,8,-3.5240,4.8501,3.0000
10,scouts,9,-5.1225,6.4230,3.0000
10,scouts,10,-6.6537,4.9213,3.0000
10,scouts,11,-5.0992,3.3604,3.0000
10,scouts,12,6.6537,4.9213,3.0000
10,scouts,13,5.1225,6.4231,3.0000
10,scouts,14,3.5240,4.8501,3.0000
10,scouts,15,5.0992,3.3604,3.0000
10,workers,0,-3.0000,-5.0000,3.0000
10,workers,1,7.0000,-5.0000,3.0000
10,workers,2,-3.0000,5.0000,3.0000
10,workers,3,7.0000,5.0000,3.0000
