frame,timestamp,tier,agent_index,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,speed,extra
1,0.267,GENERAL,0,0.000,0.000,5.000,0.000,0.000,0.000,0.000,N/A
1,0.267,NODE,0,-5.002,-4.992,3.000,-0.113,0.496,0.000,0.509,zone=0 dist=0.00m
1,0.267,NODE,1,5.002,-4.992,3.000,0.115,0.496,0.000,0.509,zone=1 dist=0.00m
1,0.267,NODE,2,-4.994,4.994,3.000,0.363,-0.361,0.000,0.512,zone=2 dist=0.00m
1,0.267,NODE,3,4.994,4.994,3.000,-0.361,-0.359,0.000,0.509,zone=3 dist=0.00m
1,0.267,SCOUT,0,-3.500,-4.998,3.000,-0.023,0.099,0.000,0.102,cmd_age=0.02s bat=1.00 dist=0.00m
1,0.267,SCOUT,1,-5.000,-3.498,3.000,-0.023,0.099,0.000,0.102,cmd_age=0.02s bat=1.00 dist=0.00m
1,0.267,SCOUT,2,-6.500,-4.998,3.000,-0.023,0.099,0.000,0.102,cmd_age=0.02s bat=1.00 dist=0.00m
1,0.267,SCOUT,3,-5.000,-6.498,3.000,-0.023,0.099,0.000,0.102,cmd_age=0.02s bat=1.00 dist=0.00m
1,0.267,SCOUT,4,6.500,-4.998,3.000,0.023,0.099,0.000,0.102,cmd_age=0.02s bat=1.00 dist=0.00m
1,0.267,SCOUT,5,5.000,-3.498,3.000,0.023,0.099,0.000,0.102,cmd_age=0.02s bat=1.00 dist=0.00m
1,0.267,SCOUT,6,3.500,-4.998,3.000,0.023,0.099,0.000,0.102,cmd_age=0.02s bat=1.00 dist=0.00m
1,0.267,SCOUT,7,5.000,-6.498,3.000,0.023,0.099,0.000,0.102,cmd_age=0.02s bat=1.00 dist=0.00m
1,0.267,SCOUT,8,-3.499,4.999,3.000,0.073,-0.072,0.000,0.102,cmd_age=0.02s bat=1.00 dist=0.00m
1,0.267,SCOUT,9,-4.999,6.499,3.000,0.073,-0.072,0.000,0.102,cmd_age=0.02s bat=1.00 dist=0.00m
